city,toss_winner,team1,team2,toss_decision,match_winner,win_by_runs,win_by_wickets
Bangalore,Royal Challengers Bangalore,Royal Challengers Bangalore,Kolkata Knight Riders,field,Kolkata Knight Riders,140.0,0.0
Hyderabad,Royal Challengers Bangalore,Sunrisers Hyderabad,Royal Challengers Bangalore,field,Sunrisers Hyderabad,35.0,0.0
Pune,Rising Pune Supergiant,Rising Pune Supergiant,Mumbai Indians,field,Rising Pune Supergiant,0.0,7.0
Rajkot,Kolkata Knight Riders,Gujarat Lions,Kolkata Knight Riders,field,Kolkata Knight Riders,0.0,10.0
Indore,Punjab Kings,Punjab Kings,Rising Pune Supergiant,field,Punjab Kings,0.0,6.0
Bengaluru,Royal Challengers Bangalore,Royal Challengers Bangalore,Delhi Capitals,bat,Royal Challengers Bangalore,15.0,0.0
Hyderabad,Sunrisers Hyderabad,Sunrisers Hyderabad,Gujarat Lions,field,Sunrisers Hyderabad,0.0,9.0
Mumbai,Mumbai Indians,Mumbai Indians,Kolkata Knight Riders,field,Mumbai Indians,0.0,4.0
Indore,Royal Challengers Bangalore,Punjab Kings,Royal Challengers Bangalore,bat,Punjab Kings,0.0,8.0
Pune,Rising Pune Supergiant,Rising Pune Supergiant,Delhi Capitals,field,Delhi Capitals,97.0,0.0
Mumbai,Mumbai Indians,Mumbai Indians,Sunrisers Hyderabad,field,Mumbai Indians,0.0,4.0
Kolkata,Kolkata Knight Riders,Kolkata Knight Riders,Punjab Kings,field,Kolkata Knight Riders,0.0,8.0
Bangalore,Mumbai Indians,Royal Challengers Bangalore,Mumbai Indians,field,Mumbai Indians,0.0,4.0
Rajkot,Gujarat Lions,Gujarat Lions,Rising Pune Supergiant,field,Gujarat Lions,0.0,7.0
Kolkata,Sunrisers Hyderabad,Kolkata Knight Riders,Sunrisers Hyderabad,field,Kolkata Knight Riders,17.0,0.0
Delhi,Delhi Capitals,Delhi Capitals,Punjab Kings,bat,Delhi Capitals,51.0,0.0
Mumbai,Mumbai Indians,Mumbai Indians,Gujarat Lions,field,Mumbai Indians,0.0,6.0
Bangalore,Royal Challengers Bangalore,Royal Challengers Bangalore,Rising Pune Supergiant,field,Rising Pune Supergiant,27.0,0.0
Delhi,Delhi Capitals,Delhi Capitals,Kolkata Knight Riders,bat,Kolkata Knight Riders,0.0,4.0
Hyderabad,Punjab Kings,Sunrisers Hyderabad,Punjab Kings,field,Sunrisers Hyderabad,5.0,0.0
Rajkot,Gujarat Lions,Gujarat Lions,Royal Challengers Bangalore,field,Royal Challengers Bangalore,21.0,0.0
Hyderabad,Sunrisers Hyderabad,Sunrisers Hyderabad,Delhi Capitals,bat,Sunrisers Hyderabad,15.0,0.0
Indore,Mumbai Indians,Punjab Kings,Mumbai Indians,field,Mumbai Indians,0.0,8.0
Kolkata,Gujarat Lions,Kolkata Knight Riders,Gujarat Lions,field,Gujarat Lions,0.0,4.0
Mumbai,Delhi Capitals,Mumbai Indians,Delhi Capitals,field,Mumbai Indians,14.0,0.0
Pune,Rising Pune Supergiant,Rising Pune Supergiant,Sunrisers Hyderabad,field,Rising Pune Supergiant,0.0,6.0
Rajkot,Gujarat Lions,Gujarat Lions,Punjab Kings,field,Punjab Kings,26.0,0.0
Kolkata,Royal Challengers Bangalore,Kolkata Knight Riders,Royal Challengers Bangalore,field,Kolkata Knight Riders,82.0,0.0
Mumbai,Mumbai Indians,Mumbai Indians,Rising Pune Supergiant,field,Rising Pune Supergiant,3.0,0.0
Pune,Kolkata Knight Riders,Rising Pune Supergiant,Kolkata Knight Riders,field,Kolkata Knight Riders,0.0,7.0
Bangalore,Gujarat Lions,Royal Challengers Bangalore,Gujarat Lions,field,Gujarat Lions,0.0,7.0
Kolkata,Kolkata Knight Riders,Kolkata Knight Riders,Delhi Capitals,field,Kolkata Knight Riders,0.0,7.0
Chandigarh,Punjab Kings,Punjab Kings,Sunrisers Hyderabad,field,Sunrisers Hyderabad,26.0,0.0
Pune,Royal Challengers Bangalore,Rising Pune Supergiant,Royal Challengers Bangalore,field,Rising Pune Supergiant,61.0,0.0
Rajkot,Gujarat Lions,Gujarat Lions,Mumbai Indians,bat,Mumbai Indians,0.0,0.0
Chandigarh,Punjab Kings,Punjab Kings,Delhi Capitals,field,Punjab Kings,0.0,10.0
Hyderabad,Kolkata Knight Riders,Sunrisers Hyderabad,Kolkata Knight Riders,field,Sunrisers Hyderabad,48.0,0.0
Mumbai,Royal Challengers Bangalore,Mumbai Indians,Royal Challengers Bangalore,bat,Mumbai Indians,0.0,5.0
Pune,Rising Pune Supergiant,Rising Pune Supergiant,Gujarat Lions,field,Rising Pune Supergiant,0.0,5.0
Delhi,Delhi Capitals,Delhi Capitals,Sunrisers Hyderabad,field,Delhi Capitals,0.0,6.0
Kolkata,Rising Pune Supergiant,Kolkata Knight Riders,Rising Pune Supergiant,field,Rising Pune Supergiant,0.0,4.0
Delhi,Delhi Capitals,Delhi Capitals,Gujarat Lions,field,Delhi Capitals,0.0,7.0
Bangalore,Royal Challengers Bangalore,Royal Challengers Bangalore,Punjab Kings,field,Punjab Kings,19.0,0.0
Hyderabad,Sunrisers Hyderabad,Sunrisers Hyderabad,Rising Pune Supergiant,field,Rising Pune Supergiant,12.0,0.0
Delhi,Delhi Capitals,Delhi Capitals,Mumbai Indians,field,Mumbai Indians,146.0,0.0
Bangalore,Kolkata Knight Riders,Royal Challengers Bangalore,Kolkata Knight Riders,field,Kolkata Knight Riders,0.0,6.0
Chandigarh,Gujarat Lions,Punjab Kings,Gujarat Lions,field,Gujarat Lions,0.0,6.0
Hyderabad,Mumbai Indians,Sunrisers Hyderabad,Mumbai Indians,bat,Sunrisers Hyderabad,0.0,7.0
Chandigarh,Kolkata Knight Riders,Punjab Kings,Kolkata Knight Riders,field,Punjab Kings,14.0,0.0
Kanpur,Delhi Capitals,Gujarat Lions,Delhi Capitals,field,Delhi Capitals,0.0,2.0
Mumbai,Mumbai Indians,Mumbai Indians,Punjab Kings,field,Punjab Kings,7.0,0.0
Delhi,Delhi Capitals,Delhi Capitals,Rising Pune Supergiant,bat,Delhi Capitals,7.0,0.0
Kanpur,Sunrisers Hyderabad,Gujarat Lions,Sunrisers Hyderabad,field,Sunrisers Hyderabad,0.0,8.0
Kolkata,Kolkata Knight Riders,Kolkata Knight Riders,Mumbai Indians,field,Mumbai Indians,9.0,0.0
Pune,Rising Pune Supergiant,Rising Pune Supergiant,Punjab Kings,field,Rising Pune Supergiant,0.0,9.0
Delhi,Royal Challengers Bangalore,Delhi Capitals,Royal Challengers Bangalore,bat,Royal Challengers Bangalore,10.0,0.0
